OBJECTID,STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,PCICBSA10,PCINECTA10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,POP2010,HU2010,HISPAN,WHITENH,BLACKNH,AMERINDIANNH,ASIANNH,HAWIANNH,OTHERNH,MULTIRACE,SHAPE__Area,SHAPE__Length
45,12,36100,02403168,1236100,Kendall,Kendall CDP,57,U1,Y,N,G4210,S,41647800,1334268,+25.6695380,-080.3547406,75371,31899,48038,21432,2680,37,2190,24,232,738,53126085.0214844,33591.6178445906
46,12,36121,02403170,1236121,Kendall West,Kendall West CDP,57,U2,N,N,G4210,S,7122451,672921,+25.7068156,-080.4406970,36154,12317,31912,2982,626,12,389,2,48,183,9660098.8984375,14378.1739217208
47,12,39950,02403227,1239950,Leisure City,Leisure City CDP,57,U1,N,N,G4210,S,8624772,172930,+25.4937537,-080.4380084,22655,6958,16978,1809,3473,17,186,0,52,140,10919010.0175781,14436.4402072247
48,12,47700,02403326,1247700,Naranja,Naranja CDP,57,U1,N,N,G4210,S,3773269,478388,+25.5161481,-080.4219265,8303,2923,4285,519,3172,11,193,1,31,91,5317078.33398438,11020.3217053109
49,12,51475,02403376,1251475,Olympia Heights,Olympia Heights CDP,57,U1,N,N,G4210,S,6871247,922479,+25.7278959,-080.3389999,13488,4278,11573,1781,25,6,73,0,11,19,9619516.93945313,14459.3370163223
50,12,54300,02403393,1254300,Palmetto Estates,Palmetto Estates CDP,57,U1,N,N,G4210,S,5600338,121159,+25.6226820,-080.3606136,13535,4211,5840,1546,5308,10,444,7,74,306,7068759.20117188,11676.2689936959
51,12,54500,00305079,1254500,Palm Springs North,Palm Springs North CDP,57,U1,N,N,G4210,S,2059948,531891,+25.9342521,-080.3310280,5253,1619,4079,1103,29,4,22,0,0,16,3221691.95703125,7233.45366284629
52,12,57250,02403420,1257250,Pinewood,Pinewood CDP,57,U1,N,N,G4210,S,4555287,358478,+25.8693544,-080.2170588,16520,5475,3761,368,11995,27,77,7,50,235,6094408.98046875,10548.0179273889
53,12,58975,02403449,1258975,Princeton,Princeton CDP,57,U1,N,N,G4210,S,19104168,129111,+25.5409131,-080.3982069,22038,6817,13416,1857,6165,26,297,10,49,218,23693752.3417969,27282.1428560421
54,12,60225,02403473,1260225,Richmond Heights,Richmond Heights CDP,57,U1,N,N,G4210,S,4142694,39798,+25.6332903,-080.3712258,8541,2874,2136,251,5961,16,36,1,23,117,5175703.4453125,11256.0537195971
55,12,60230,01853280,1260230,Richmond West,Richmond West CDP,57,U2,N,N,G4210,S,10794138,303526,+25.6092763,-080.4296458,31973,9366,25110,3764,2008,36,598,2,115,340,13688899.0566406,15519.1307901244
56,12,67575,02402874,1267575,South Miami Heights,South Miami Heights CDP,57,U1,N,N,G4210,S,12652323,140531,+25.5882324,-080.3857888,35696,11480,24258,2561,7792,47,514,4,127,393,15798907.1386719,19604.227134222
57,12,69812,02402902,1269812,Sunset,Sunset CDP,57,U1,N,N,G4210,S,9013312,172874,+25.7060806,-080.3523713,16389,5610,13164,2666,109,2,315,0,36,97,11369837.7128906,15080.03824715
58,12,70700,02402913,1270700,Tamiami,Tamiami CDP,57,U1,N,N,G4210,S,18306533,985777,+25.7563211,-080.4025592,55271,17256,51217,3418,162,16,328,0,35,95,23944462.2910156,21115.4225423702
59,12,71567,02402922,1271567,The Crossings,The Crossings CDP,57,U1,N,N,G4210,S,8964948,363603,+25.6705690,-080.4007523,22758,8587,15803,5100,918,10,559,1,78,289,11559064.3984375,14863.686999307
60,12,71569,02402923,1271569,The Hammocks,The Hammocks CDP,57,U1,N,N,G4210,S,20415867,571885,+25.6703538,-080.4488333,51003,17565,39244,7119,2430,40,1499,7,124,540,25929853.8164063,21983.0058802271
61,12,71741,02402928,1271741,Three Lakes,Three Lakes CDP,57,U1,N,N,G4210,S,8286473,1697709,+25.6427699,-080.3999643,15047,5342,9843,2805,1388,8,667,7,80,249,12336418.9804688,14777.1755298405
62,12,73287,02402947,1273287,University Park,University Park CDP,57,U1,N,N,G4210,S,10287449,339114,+25.7496236,-080.3711618,26995,8431,22938,2501,865,4,502,5,37,143,13147946.8085938,14450.7101334827
63,12,76075,02403012,1276075,Westchester,Westchester CDP,57,U1,N,N,G4210,S,10207192,62315,+25.7470327,-080.3366820,29862,9812,27211,2404,73,9,114,0,6,45,12713431.7871094,14465.2392637661
64,12,76487,02403006,1276487,West Little River,West Little River CDP,57,U1,N,N,G4210,S,11814991,191189,+25.8569151,-080.2369997,34699,11102,17550,909,15929,27,37,7,30,210,14886576.0410156,19080.2230433194
65,12,76700,02403009,1276700,West Perrine,West Perrine CDP,57,U1,N,N,G4210,S,4549091,0,+25.6061022,-080.3639287,9460,3336,2998,490,5702,21,96,0,31,122,5623110.6328125,10384.3493710551
66,12,76950,02403016,1276950,Westview,Westview CDP,57,U1,N,N,G4210,S,7829540,401163,+25.8822776,-080.2420042,9650,3430,2859,226,6414,16,18,5,9,103,10211049.9921875,15250.4399183409
67,12,77075,02403018,1277075,Westwood Lakes,Westwood Lakes CDP,57,U1,N,N,G4210,S,4258296,381219,+25.7262778,-080.3692340,11838,3509,10177,1483,28,3,115,0,9,23,5742975.64453125,9656.61547515169
68,12,09000,02402723,1209000,Brownsville,Brownsville CDP,57,U1,N,N,G4210,S,5891466,9904,+25.8214260,-080.2417313,15313,5797,3939,181,11081,13,7,0,10,82,7308184.61132813,13219.9688940926
69,12,32275,02404723,1232275,Homestead,Homestead city,25,C1,Y,N,G4110,A,39211391,1240768,+25.4673459,-080.4457729,60512,23419,38078,9684,11132,77,684,64,136,657,49823722.9296875,46946.3062882235
70,12,49475,02404395,1249475,North Miami Beach,North Miami Beach city,25,C1,N,N,G4110,A,12501990,1394106,+25.9299960,-080.1651794,41523,16402,15213,7630,16251,58,1373,16,172,810,17257547.28125,51226.5483451587
71,12,02681,02403141,1202681,Aventura,Aventura city,25,C1,N,N,G4110,A,6867505,2213086,+25.9601300,-080.1331086,35762,26120,12798,20711,1211,31,619,6,85,301,11279095.1523438,15711.0722889894
72,12,51125,02403371,1251125,Ojus,Ojus CDP,57,U1,N,N,G4210,S,6852828,1340068,+25.9560848,-080.1668727,18036,8146,7979,7772,1611,4,364,9,76,221,10222280.7324219,20795.5141578863
